Real Ale Society,,597218@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Skateboarding Society,,597218@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
4D Presents,,599133@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Anthro Society,,600871@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
British Pugwash Society,,603048@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Hiking Society,,610077@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Games Society,,610406@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Christian Muslim Dialogue Society,,610413@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Sports Society,,610476@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
SOAS Nargile Club,,611740@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Native Spirit Society,,612126@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Ahmadiyya Muslim Students Association,,612588@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Stop AIDS,,613013@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Ex-Muslim Society,,613287@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Charitable Causes Society,,613682@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Survival Society,,622623@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
History Society,,634262@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
ABACUS,,abacus.soas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Ahlulbayt Islamic Society,,absocsoas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Asia Pacific Focus,,apfsoas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Arabic Conversation Group,,arabicatsoas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Art Society,,artsocsoas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Chasing Zero,,beccacarnac@yahoo.co.uk,P,London,School of Oriental and Asian Studies,NO,,,
Canadian Society SOAS,,canadiansocietysoas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
International Law Society,,clicko_zack@hotmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Cypriot Society,,cypriotsocietysoas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Decolonising Our Minds Society,,Decolonisingourminds@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Oromo Society,,dhibayu@live.com,P,London,School of Oriental and Asian Studies,NO,,,
Maqam Society,,ee11@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Entitled Magazine,,entitledmagazine@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Green Group,,environment@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Film Makers Society,,filmmakerssoas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Gin&Co,,ginandco.soas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Korean Kayageum Society,,gugak2015@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Korean Wind Instrument Society,,gugak2015@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Martial arts and Karate club,,isbaafd@yahoo.co.uk,P,London,School of Oriental and Asian Studies,NO,,,
Islamic Society,,isoc@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Klezmer Band,,josh.middleton@hotmail.co.uk,P,London,School of Oriental and Asian Studies,NO,,,
Jewish Society,,jsoc.soas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Khaleeji Society,,khaleejisociety.soas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Kashmir Solidarity Movement,,ksmsoas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Law Society,,lawsociety@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
LGBTQ Society,,lgbtqiasoas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Shin Shin Toitsu Aikido,,london@kisociety.org.uk,P,London,School of Oriental and Asian Studies,NO,,,
JingKun Opera Society,,londonxiqu@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Series Screening Society,,lorddisel@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Conscious Consumers Society,,lorenzo_tedeschi@hotmail.it,P,London,School of Oriental and Asian Studies,NO,,,
MUN Society,,mun.soas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Muslim Research Forum,,muslimresearchforum@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Save The Children Society,,nur_kua@hotmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Open Economics Forum,,open.economics.forum@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Pan-African Society,,panafricansoc@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Portuguese Society,,portuguesesoc@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Cheerleading Society,,radicalcheersldn@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Marxist Society,,rezamohammadi1917@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Quechua Society SOAS,,robbie_penman@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
RS21,,rs21.soas@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Detainee Support Group,,s.det.sup@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Water Sports Society,,sabrina_akram@hotmail.co.uk,P,London,School of Oriental and Asian Studies,NO,,,
South Asian Film Society,,safs@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Student Action for Global Justice Internationalist Society,,sagjis.gjf@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Fractionals For Fair Play,,sai.englert@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Sambatage,,sambatage@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Chinese Music Ensemble,,silkandbamboo@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Sinophone Cinema Society,,sinophonecinemasociety@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Cuban Big Band Society,,sm107@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
No Borders,,snborders@riseup.net,P,London,School of Oriental and Asian Studies,NO,,,
East Africa Network,,soas.east.africa.network@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Investment Banking Society,,soas.investmentbanking@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Iranian Society,,soas.iranian@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Muslim Students Association,,soas.msa@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Photography Society,,soas.photo.soc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Singapore Society,,soas.singsoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Polish Society,,soas210090@outlook.com,P,London,School of Oriental and Asian Studies,NO,,,
Albanian Society,,soasalbaniansociety@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Anarchist Student Society,,soasanarchistsoc@riseup.net,P,London,School of Oriental and Asian Studies,NO,,,
Armenian Society,,SOASArmenianSociety@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Bangla Society,,soasbanglasoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Beekeepers,,soasbeekeepers@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Bhangra Society,,soasbhangrasoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Catholic Society,,soascatholic@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Circus Society,,soascircus@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Climbing & Mountaineering Club,,soascmc@Gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
CND Society,,soascnd@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Christian Union,,soascu@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
DAF,,soasdafband@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Dance Society,,soasdancesoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Debating Society,,soasdebsoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Drama Society,,soasdrama@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
East Asia Society,,soaseastasiasoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Economics and Finance Society,,soasefs@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Feminist Society,,soasfeministsociety@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Food Co-op,,soasfoodcoop@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Francophone Society,,soasfrenchsoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
French Society,,soasfrenchsoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Hungarian Society,,soashunsoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Investment Club,,soasinvestmentclub@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Iranian Music Society,,soasiranianmusic@yahoo.co.uk,P,London,School of Oriental and Asian Studies,NO,,,
Iraqi Society,,soasiraqisociety@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
International Relations Society,,soasirsoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Japan Society,,soasjapansociety@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Knit and Stitch Society,,soasknitandstitch@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Korean Drumming Society,,soaskoreandrummers@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Korea Society,,soaskoreasoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Middle East and North African Society,,soasmenasoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Music Society,,soasmusicgroup@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Nordic Society,,soasnordicsoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Overland Travel Society,,soasoverland2014@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Pakistan Society,,soaspaksoc2010@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Palestine Society,,soaspalsoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Queer Film Soc,,soasqueerfilms@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Somali Society,,soassomalisociety@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
The Spoken Word Society,,soasspokenword@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Tamil Soc,,soastamilsoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Thai Society,,soasthaisoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Investment and Trading Society,,soastrading@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Turkish Society,,soasturkish1415@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Ventures,,soasventures@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Vietnamese Society,,soasvietsoc@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
World Social Forum Society,,soaswsf@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
Yemen Society,,soasyemensociety@gmail.com,P,London,School of Oriental and Asian Studies,NO,,,
SOAS Radio,,studio@soasradio.org,P,London,Imperial College London,YES,25.09.16,Rebecca,
Airenjuku Aikido,,suefr0cks@aol.com,P,London,Imperial College London,YES,25.09.16,Rebecca,
Syria Society,,syriasocietysoas@gmail.com,P,London,Imperial College London,YES,25.09.16,Rebecca,
Team Up,,taban.hawezy@teamup.org.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Teach First,,teachfirstsoas@gmail.com,P,London,Imperial College London,YES,25.09.16,Rebecca,
SOAS Spirit,,tom.editor.soasspirit@gmail.com,P,London,Imperial College London,YES,25.09.16,Rebecca,
UN Society,,un.soc@soas.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Women's Society,,women.soc@soas.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
First Aid Society,,1aidsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
ABACUS,,abacus@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
A Cappella Group,,acappella@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Aeronautics Society,,aerosoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
African Caribbean Society,,afro.caribbean@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Ahlul Bayt Islamic Society,,ahlul_bayt@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
American Football Society,,american.football@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Anime Society,,anime@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Arabic Society,,arabsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Archery Society,,archery.club@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Artsoc,,artsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Astronomy Society,,astrosoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Avicenna Project,,avicenna.project@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Badminton Society,,badminton@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Bangladeshi Society,,bangladeshi@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Baseball and Softball Society,,baseball@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Basketball Society,,basketball@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Belly Dancing Society,,bellydancing@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Imperial Big Band,,bigband@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Bio Engineering Society,,bioengsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
BioMedical Society,,bmssoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Windsurfing Society,,boardsailing@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Boat Society,,boat@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Team Bo' Society,,bonerges@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Boxing Society,,boxing@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Bridge Society,,bridgeclub@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Bright Futures,,brightfutures@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Bruneian Society,,brunei@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Buddhist Society,,buddhist@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Bulgarian Society,,bulgarian@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Kenyan Orphan Project,,cagkop@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Canoeing Society,,canoe@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Catholic Society,,cathsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Chamber Choir,,chamber.choir@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Chamber Music,,chamber.music@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Cheerleading Society,,cheerleading@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Cheese Society,,cheeses@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Chemical Engineering Society,,chemengsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Chemistry Society,,chemsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Chess Society,,chess@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Chinese Society,,chinese@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Cinema Society,,cinema@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Civil Engineering Society,,civsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Motor (RSM) Society,,clem@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Conservative Society,,consoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Consultancy Society,,consultancysoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Imperial Cooperative,,coop@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Cricket Society,,cricket.club@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Croquet Society,,croquet@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Chinese Students & Scholars Association,,cssa@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Christian Union,,cu@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Cycling Society,,cycle@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Cypriot Society,,cypriotsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Dance Society,,dance@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Dance Company,,dancecompany@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Debating Society,,debate@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Computing Society,,docsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Dodgeball Society,,dodgeball@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
DramSoc,,dramsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Economics Society,,economics@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Electrical Engineering Society,,eesoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
El Salvador Development,,el-salvador-project@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Enactus,,enactus@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Energy Society,,energysociety@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Entrepreneurs Society,,entrepreneurs@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Equinox,,equinox@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Erasmus,,erasmus@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Environmental Society,,esoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Every Nation Christian,,everynation@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Exploration Society,,exploration@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Fashion & Design Society,,fashionsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Felix Society,,felix@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Fellwanderers Society,,fellsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Fencing Society,,fencing@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Finance Society,,finsoc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,will get in touch when finalise event details
Floorball Society,,floorball@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
French Society,,french@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Funkology Society,,funkology@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Gaelic Sports Society,,gaelic.sports@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
German Society,,germanic@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Gliding Society,,gliding@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Global Brigades,,globalbrigades@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Golf Society,,golf.club@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Gospel Choir,,gospel.choir@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
GradMed (Medics),,gradmed.society@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Engineers Without Borders,,guilds.ewb@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Rugby - Mens (C&G),,guilds.rugby@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Hammersmith Students' Community,,hammersmithstudents@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Hellenic Society,,hellenic@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Hindu Society,,hindu@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
PASS,,hkpass@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Caving Society,,ic.caving@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Hockey Society,,ic.hockey@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Imperial College Aid to the Balkans Society,,icab@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Imperial College Choir,,icchoir@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Imperial Design Collective,,icdcollective@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Ice Hockey Society,,ice-hockey@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
MedSIN,,icmedsin@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Racing Society,,icracing@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Imperial Radio,,icradio@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Robotics Society,,icrobotics@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Rifle & Pistol Club,,icrpc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Rail and Transport Society,,icrs@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Imperial String Ensemble,,icse@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Imperial College Gazette,,icsm-gazette@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Medics Badminton Society,,icsmbadminton@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
Medics Boat Society,,icsmbc@imperial.ac.uk,P,London,Imperial College London,YES,25.09.16,Rebecca,
