Name,Acronym,Email,Bounce Check,University,RAG,First Email,From,Reply,,,,,,,,,,,,,,,,,,
Cambridge Hands-On Science,CHaOS,contact@chaosscience.org.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
American Football Society,CUAFS,cuafs@pythons.org.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge Rebetiko Sessions,,ed.emery@thefreeuniversity.net,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Ceilidh Sessions,,ed.emery@thefreeuniversity.net,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Conference Cambridge,,enquiries@conferencecambridge.com,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge University Boat Club,,execsec@cubc.org.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge International Development Conference,,idc@cambridgehub.org,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
ADC Theatre,,info@adctheatre.com,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Christ's College Music Society,CCMS,info@christsmusic.org.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
C.U. Yacht Club,CUYC,info@cuyc.org.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
The King's Bunker,KGB,info@kingsbunker.com,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Pythons American Football Club,CUPAFC,info@pythons.org.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge Rollerbillies,,info@rollerbillies.com,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
RSPCA Cambridge and District Branch,RSPCA,info@rspca-cambridge.org.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
King's College King's Mountaineering & Kayaking Association,KMKA,kmka@kcsu.org.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge Student Community Action,SCA,mail@cambridgesca.org.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
American Stage Tour,,manager@castcambridge.com,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Law Society,CULS,president@camlawsoc.com,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Musical Theatre Society,CUMTS,president@cumts.co.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Science & Policy Exchange,CUSPE,president@cuspe.org,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Selwyn College Snowball Committee,SSC,president@selwynsnowball.co.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Newnham College Marketing Society,,soc.marketing@newn.cam.ac.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge Salsa Team,CST,tam@teamsalsa.co.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge University Officers' Training Corps,CUOTC,UOTCCambridge-RHQ-Society@mod.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
XS Latin Cambridge Formation Teams,XSLatin,contact@xslatin.org,unknown (is_greylisting),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
The Cambridge LCD Hitch,,hitch@lcd.org.uk,unknown (is_greylisting),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Scientific Society,CUSS-SciSoc,president@scisoc.com,unknown (is_greylisting),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
