Name,Email,Bounce Check,University,RAG,First Email,From,Reply,Interested,,,,,,,,,,,,,,,,,,
Cymdeithas Dafydd ap Gwilym,cymdeithasydafydd@outlook.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Dot's Funk Odyssey,info@dotsfunkodyssey.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Edgar Wind Society,wind.society@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,Yes,Yes,,,,,,,,,,,,,,,,,,
Eglesfield Music Society,seweryn.gasiorek-shergold@queens.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Enactus Oxford,enactusoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,Yes,No,,,,,,,,,,,,,,,,,,
Energy Institute Oxford,jonathan.ward@some.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Engineers Without Borders Oxford,kalyan.dutia@exeter.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Exeter College Chapel Choir,timothy.muggeridge@exeter.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Faded Ink Productions,fadedinkproductions@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
FELLOW,fellowvolunteers@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
From the Horse's Mouth,fromthehorsesmouth.oxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Giving What We Can: Oxford,benjamin.henshall@wadh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Global Brigades Oxford,globalbrigadesoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Good Lad Initiative,goodladworkshop@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Graduate Christian Union,oxfordgcu.twitter@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Hertford Business and Economics Society,olivia.shillabeer@hertford.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Hertford College Music Society,hertfordmusic@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
In The Pink,itp@hotmail.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,Yes,Yes,,,,,,,,,,,,,,,,,,
Industry Magazine,chairman@ospl.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Introduction to International Development Conference,coordinators@oxfid.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Irish Dancing Society,oxfordirishdancesoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Islamic Banking and Finance Society,oxfordibfs@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Just Love Oxford,alexander.rattee@some.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
K.O. Krav,oukokrav@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Keble College Chapel Choir,jacob.ewens@keble.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
KEEN Oxford,keen@keenoxford.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Kids Company,kidsco.oxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Le Cercle Francais,lecerclefrancaisoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Lincoln College Chapel Choir,joseph.mason@lincoln.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Magdalen College Music Society,emily.mitchell@magd.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Magdalen Film Society,magdalenfilmsociety@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Mirzakhani Society,mirzakhanisociety@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
No Means No Campaign,nmncampaign@outlook.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oriel College Chapel Choir,emily.essex@oriel.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Out of the Blue,ootbbusiness@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Ox Co-op,oxfordfoodcoop@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
OXCAR,oxcar.acapella@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
OxFID,coordinators@oxfid.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Aerial Dance Society,Natalie@polecatsdance.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Aid to the Balkans,oxabinfo@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Alternatives Investment Management Society,benjamin.lacaille@stb.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Anime Vision,oxanimevision@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Applied Neuroscience,chung.looi@psy.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Baha'i Society,collis@tahzib.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford BJJ,bjjoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Broadcasting Association,president@ouba.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford China Forum,yuzhe.gong@jesus.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Chinese Innovation Club,fang.li@queens.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Chinese International Awareness Society,ox_gg@hotmail.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Classics Society,james.aung@worc.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Climate Society,oxfordclimatesociety@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Commas,benjamin.christopher@spc.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Communist Corresponding Society,oxford@communistcorrespondingsociety.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Country Sports Society,oxfordcountrysports@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Development Abroad,oda-board@googlegroups.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Doctor Who Society,whosoc_ctte@maillist.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Donors,yoni.stone@pmb.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Economics Society,president@oxfordeconsoc.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Education Partnerships Africa,eleanor.moodey@new.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Entrepreneurs,alex.davies@oxfordentrepreneurs.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Finance Society,president@oxfordfinance.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Gamelan Society,johnguypusey@hotmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford German Network,ogn@mod-langs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Global Health Group,secretary@oxfordghg.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Guild of Assassins,umpire@oxfordassassinsguild.org.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Hands On Science,corinna.kulicke@seh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford History Graduate Network,admin@ohgn.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Hungarian Society,mail@hungsoc.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford India Society,indian.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Indian Classical Arts Society,oxfordindianarts@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Inter-Collegiate Christian Union,david.holt@seh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Islamic Society,ouisoc.mail@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Lancers American Football Club,george.fountain@oriel.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Latin American Society,president@oxford-las.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Lawyers Without Borders,timothy.yap@bnc.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Lindy Hoppers,oxfordlindyhoppers@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Magic Society,oxmagicsoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Marrow,oxfordmarrow@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Marxists,oxfordmarxists@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Media Society,oxfordmediasoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Mexican Society,oxford.mexsoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Microfinance Initiative,contact@oxfordmicro.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Millenium Orchestra,oxford.millennium.orchestra@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Muse Society,oxford.muse.society@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Nightline,coords@oxfordnightline.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Open Orchestra,thomas.gammage@sjc.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Orthodox Christian Student Society,ouorthosoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Pink Week,oxfordpinkweek@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Pokemon Society,oupokes@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford PPE Society,president@ppesoc.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Quakers,madeleine.ward@wolfson.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Revue,oxrevue@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Romance,cupid@ruo3.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford rs21,rs21students.oxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Scandinavian Society,oxfordscansoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Scottish Society,rory.irwin@st-annes.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Sikh Society,oxford.sikhsoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Solidarity for Syria,oxfordsolidarityforsyria@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford South Slavic Society,tonci.ivanisevic@trinity.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Star Trek Society,callum.spiller@pmb.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Strategy Group,info@oxfordstrategygroup.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Student Food Cooperative,oxfordfoodcoop@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Student Go Society,toby.cathcartburn@merton.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Student Green Party,oxfordstudentgreens@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Student Mindfulness Society,oxfordstudentmindfulnesssoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Student Minds,oxford@studentminds.org.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Student Publications Ltd.,chairman@ospl.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Students for Animals,benjamin.jarvis@keble.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Students for Liberty,lucinda.chamberlain@bnc.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Students for Life,studentsforlife.oxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Students' Oxfam Group,megan.park@hertford.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Students' Palestine Society,palsocoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford TEACH,oxforduniversity.teach@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Teach Green,oxfordteachgreen@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Thai Society,thitapa.haritaworn@balliol.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Theology Society,info@oxfordtheologysociety.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Travel Society,oxfordtravelsociety@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford UCU,ucu@ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Unicef on Campus,oxfordunicef2014@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Union,enquiries@oxford-union.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Africa Society,africa.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Arab Cultural Society,omar.shweiki@balliol.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Archaeological Society,gonzalo.linaresmatas@st-hughs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Asia-Pacific Society,william.ip@pmb.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Australian Rules Football Club,eugene.duff@ndcn.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Austrian Society,oxford.austriansociety@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Badminton Club,christopher.lim@univ.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Ballet Society,ouballet@yahoo.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Bangladesh Society,khaleque@maths.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Basketball Club,oubbcprrep@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Belgo-Luxembourgish Society,oxforduniversitybelgoluxsoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Biological Society,oxfordbiologicalsoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Blind Tasting Society,oxfordblindtasting@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Board Game Society,ouboardgames@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Brass Band,oubrass@oums.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Brazilian Society,brazilian.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Canoe and Kayak Club,canoe-kayak.club@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Caving Club,john.williams@pmb.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Ceilidh Band,oxfordceilidhband@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Cheerleading Club,emilie.heddle@st-hughs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Chemistry Society,ouchemsoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Chess Club,chess.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Chinese Society,oucs.general@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Company of Archers,president@oucofa.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Computer Society,committee@ox.compsoc.net,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Conservative Association,jan.nedvidek@chch.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Contract Bridge Association,peter.banks@worc.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Croquet Club,croquet.club@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Cross Country Club,alexander.howard@chch.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Cycling Club,christopher.ricketts@wadh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Czech and Slovak Society,oucss.oxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Disability Mooting Championship,luke.rostill@law.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University DodgeBall Club,oudodgeball@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University eSports Society,martin.miklos@st-hughs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University European Affairs Society,daniel.bayliss@trinity.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Fencing Club,president@oufencing.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University French Society,oxufrenchsociety@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Gilbert and Sullivan Society,president@ougss.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Greek Society,greek.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Gregorian Chant Society,oxfordgregorianchant@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Gymnastics Club,elizabeth.andrew@univ.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Hacky Sack Society,mayur.pant@cs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Handball Club,unimai@hotmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Harry Potter Society,sean.loveridge@new.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Historical Reenactment Society,conor.cooper@wadh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University History Society,elizabeth.chittenden@chch.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Hong Kong Society,president@ouhks.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Ice Hockey Club,ouihcpres@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Indonesia Society,oxfordindonesiasociety@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Italian Society,italy.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Jazz Society,jazz.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Karate Club,isabel.thomlinson@lmh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Kendo Club,oxfordkendo@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Kickboxing Club,oxfordunikickboxing@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
