Name,Abbreviation,Email,,checked_on,bounce_check,,,,,,,,,,,,,,,,,,,,
Birding Society,CUBS,cubirds@cusu.cam.ac.uk,,2016-09-25T10:46:15.067780,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Chamber Orchestra,CUCO,cuco@cusu.cam.ac.uk,,2016-09-25T10:46:56.335053,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Rifle association,CURA,cura@cusu.cam.ac.uk,,2016-09-25T10:48:32.081495,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Social Anthropology Film Society,,cusafs@cusu.cam.ac.uk,,2016-09-25T10:48:45.760111,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Student Advocates International,SAI,cusai@cusu.cam.ac.uk,,2016-09-25T10:48:47.667418,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Steelpan Society,CUSPS,cusps@cusu.cam.ac.uk,,2016-09-25T10:49:06.432568,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Women in Leadership,CUWL,cuwl@cusu.cam.ac.uk,,2016-09-25T10:50:24.478346,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Drag Hounds,CUDH,draghounds@cusu.cam.ac.uk,,2016-09-25T10:51:06.620517,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Defend the Right to Protest,CUDTRTP,dtrtp@cusu.cam.ac.uk,,2016-09-25T10:51:08.427334,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Engineering World Health,EWH,engworldhealth@cusu.cam.ac.uk,,2016-09-25T10:52:30.909071,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Engineers Without Borders,EWB-Cambridge,CUAPP,,2016-09-25T10:53:16.364546,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
The Choir of St John's College,,f.williams@joh.cam.ac.uk,,2016-09-25T10:53:24.510404,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Friends of the British Overseas territories,FOTBOT,fotbot@cusu.cam.ac.uk,,2016-09-25T10:53:57.530466,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Free Tibet Society,,freetibet@cusu.cam.ac.uk,,2016-09-25T10:53:59.894025,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
The Gender & Feminism Society,GenFemSoc,genfemsoc@cusu.cam.ac.uk,,2016-09-25T10:54:13.251356,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Gilbert & Sullivan Society,CUG&S,gilbertandsullivan@cusu.cam.ac.uk,,2016-09-25T10:54:27.870112,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Girton College Law Society,GCLS,girtonlawsoc@cusu.cam.ac.uk,,2016-09-25T10:54:29.777626,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Giving What We Can: Cambridge,GWWCCam,givingwhatwecan@cusu.cam.ac.uk,,2016-09-25T10:54:31.491342,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Hellenic Society,CUHS,hellenic@cusu.cam.ac.uk,,2016-09-25T10:56:03.229888,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Autonomous Flight,CUAF,hello@cuaf.co.uk,,2016-09-25T10:56:04.858042,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Homerton College Boat Club,HCBC,homertonbcsoc@cusu.cam.ac.uk,,2016-09-25T10:56:34.485311,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Harry Potter Society,CUHPS,hpsoc@cusu.cam.ac.uk,,2016-09-25T10:56:46.619153,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Impact Investing Society,CUIIS,impactinvestingsoc@cusu.cam.ac.uk,,2016-09-25T10:57:01.838950,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Italian Dining Society,CUIDS,italiandiningsoc@cusu.cam.ac.uk,,2016-09-25T11:01:09.825283,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Jain Cultural Society,CUJCS,jainsoc@cusu.cam.ac.uk,,2016-09-25T11:01:18.163563,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Jewish Society,CUJS,jewish@cusu.cam.ac.uk,,2016-09-25T11:01:30.567638,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Kickboxing Society,CUKBS,kickboxing@cusu.cam.ac.uk,,2016-09-25T11:01:55.692709,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
St John's College Larmor Society,,larmor@cusu.cam.ac.uk,,2016-09-25T11:02:45.645278,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Latin American Society,CULS,latinamericansoc@cusu.cam.ac.uk,,2016-09-25T11:02:52.984204,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Left Tea Party,LTP,lefttea@cusu.cam.ac.uk,,2016-09-25T11:03:04.411255,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Litre of Light [LoL],,litreoflight@cusu.cam.ac.uk,,2016-09-25T11:03:54.423921,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
League of Legends Society,CULOLS,lolsoc@cusu.cam.ac.uk,,2016-09-25T11:04:01.730819,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Cambridge MedSoc,,medical@cusu.cam.ac.uk,,2016-09-25T11:05:00.393389,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Association Football Club,CUAFC,mensfootball@cusu.cam.ac.uk,,2016-09-25T11:05:11.957643,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Modern Buddhism Society,,modernbuddhism@cusu.cam.ac.uk,,2016-09-25T11:05:35.481155,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Cambridge Volunteers in Nepal,CVN,nepal@cusu.cam.ac.uk,,2016-09-25T11:06:00.873876,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Orienteering Club,CUOC,orienteering@cusu.cam.ac.uk,,2016-09-25T11:06:31.204677,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
One World Week Society,OWW,oww@cusu.cam.ac.uk,,2016-09-25T11:06:47.812972,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Oxbridge Biotech Roundtable,OBR,oxbridgebiotech@cusu.cam.ac.uk,,2016-09-25T11:06:49.600478,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
The Oxbridge Dash,,oxbridgedash@cusu.cam.ac.uk,,2016-09-25T11:06:51.274343,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Homerton College Absolute Pandemonium Steel Pan Band,,pandemonium@cusu.cam.ac.uk,,2016-09-25T11:07:01.189833,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Peterhouse Law Society,,peterhouselawsoc@cusu.cam.ac.uk,,2016-09-25T11:07:23.817786,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Philanthropic Society,CUPS,philansoc@cusu.cam.ac.uk,,2016-09-25T11:07:30.562075,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Planting Promise,,plantingpromise@cusu.cam.ac.uk,,2016-09-25T11:07:46.379297,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Polo Club,CUPC,polo@cusu.cam.ac.uk,,2016-09-25T11:07:51.029125,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Finance & Investment Society,CUFIS,president@cufis.co.uk,,2016-09-25T11:09:20.060913,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
The Cambridge Student Psychology Journal,CSPJ,psychjourn@cusu.cam.ac.uk,,2016-09-25T11:10:38.184939,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Robinson College Chapel Choir,,robinsonchoir@cusu.cam.ac.uk,,2016-09-25T11:12:23.238036,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Slovenian Society,CUSiS,slovenian@cusu.cam.ac.uk,,2016-09-25T11:14:59.939772,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Southeast Asian Forum,CUSEAF,southeastasiaforum@cusu.cam.ac.uk,,2016-09-25T11:16:05.600123,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Student Parent Society,CUSPS,studentparents@cusu.cam.ac.uk,,2016-09-25T11:16:53.014624,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Tai Chi Chuan Society,CUTCCS,taichi@cusu.cam.ac.uk,,2016-09-25T11:17:17.243437,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Ukulele Orchestra,,ukuleleorch@cusu.cam.ac.uk,,2016-09-25T11:19:17.722749,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Lacrosse Club: Women's,CUWLC,womenslacrosse@cusu.cam.ac.uk,,2016-09-25T11:34:13.772378,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Investment Banking Society,CUIBS,admin@cuibs.org,,2016-09-25T10:36:14.596857,failed (domain_does_not_exist),,,,,,,,,,,,,,,,,,,,
Eurasia Society,CUEurasiaSoc,contact@cueurasiasociety.org,,2016-09-25T10:45:10.508788,failed (domain_does_not_exist),,,,,,,,,,,,,,,,,,,,
Clare Ents,,info@clare-ents.com,,2016-09-25T10:59:45.708633,failed (domain_does_not_exist),,,,,,,,,,,,,,,,,,,,
King's Drama,,info@kingsdrama.co.uk,,2016-09-25T11:00:28.837118,failed (domain_does_not_exist),,,,,,,,,,,,,,,,,,,,
Save the Children Society,CUSTC,savethechildren@cusu.ac.uk,,2016-09-25T11:13:03.348066,failed (domain_does_not_exist),,,,,,,,,,,,,,,,,,,,
Oxbridge Cultural Exchange Project,OCEP,thomas.hayward@ocep.org.uk,,2016-09-25T11:18:04.430228,failed (domain_does_not_exist),,,,,,,,,,,,,,,,,,,,
Cambridge University Astronomical Society,CUAS,"ads79@cam.ac.uk, astronomical@cusu.cam.ac.uk",,2016-09-25T10:36:16.386237,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Bangla Society,BanglaSoc,"banglasoc@cusu.cam.ac.uk, cubanglasoc@gmail.com",,2016-09-25T10:38:18.955826,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Planet,,"cambridgeplanet@gmail.com, planet@cusu.cam.ac.uk",,2016-09-25T10:40:35.958949,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Underwater Exploration Group: Scuba Divers,CUUEG,"chairman@cuueg.org.uk, membership@cuueg.org.uk",,2016-09-25T10:42:16.341699,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Eco Racing,CUER,"cuecoracing@cusu.cam.ac.uk, PR@cuer.co.uk",,2016-09-25T10:47:04.292740,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Ladies' Netball Club,CULNC,"culnc@cusu.cam.ac.uk, captain@culnc.org",,2016-09-25T10:48:09.961828,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Spaceflight,CUSF,"cuspaceflight@cusu.cam.ac.uk, contact@cusf.co.uk",,2016-09-25T10:49:04.106321,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Taekwondo Club,CUTKD,"cutkd-committee@srcf.ucam.org, taekwondo@cusu.cam.ac.uk",,2016-09-25T10:50:01.688652,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Women's Boat Club,CUWBC,"cuwbc@cusu.cam.ac.uk, president@cuwbc.org",,2016-09-25T10:50:18.222220,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
French Society,CUFS,"french@cusu.cam.ac.uk, president@frenchsoc.fr, vice-president@frenchsoc.fr, secretary@frenchsoc.fr",,2016-09-25T10:54:01.731053,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Gonville Hall Debating Society,GHDS,"gonvilledebate@cusu.cam.ac.uk, jom24@cam.ac.uk, emc72@cam.ac.uk",,2016-09-25T10:54:51.367792,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Women in Banking & Finance Society,CUWIBF,"info.wibf@gmail.com, info@cambridgewibf.com, wibf@cusu.cam.ac.uk",,2016-09-25T10:57:13.246337,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
British Science Association ,CBSA,info@britishscienceassociation-cambridgeshire.org.u,,2016-09-25T10:57:18.904001,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Innovation Forum,CUIF,"innovfor@cusu.cam.ac.uk, info@inno-forum.org",,2016-09-25T11:00:46.067366,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Islamic Society,CUISoc,"islamic@cusu.cam.ac.uk, information@isoc.co.uk",,2016-09-25T11:01:01.811546,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
JUNK - Cambridge Drumming Band,,"jmc218@cam.ac.uk, junksoc@cusu.cam.ac.uk",,2016-09-25T11:01:35.013833,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Fujian White Crane Kung Fu & Tai Chi,FWC,"karim@fwcinstructors.com, fwckungfu@cusu.cam.ac.uk",,2016-09-25T11:01:46.731422,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Mixed Martial Arts,CUMMA,"mma@cusu.cam.ac.uk, daf41@cam.ac.uk",,2016-09-25T11:05:33.833506,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Opera Society,CUOS,"opera@cusu.cam.ac.uk, hd317@cam.ac.uk",,2016-09-25T11:06:26.509468,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
International Development,CUiD,"president@cuid.org, cuid@cusu.cam.ac.uk",,2016-09-25T11:09:22.020960,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
CUTAZZ Dance Society,,"president@cutazz.com, tapandjazz@cusu.cam.ac.uk, secretary@cutazz.com",,2016-09-25T11:09:34.192816,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Cambridge RAG,Cambridge Students' RAG Appeal,"rag@cusu.cam.ac.uk, president@cambridgerag.org.uk",,2016-09-25T11:11:12.496438,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Russian Literature Society,CURLS,"ruslit@cusu.cam.ac.uk, info@russianliterature.co.uk",,2016-09-25T11:12:52.550761,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
All Year Icebreakers: Cambridge Safer Spaces Waterfighting & Sheila and Her Dog Chainwriting,,"sheila@srcf.ucam.org, cssw@srcf.ucam.org",,2016-09-25T11:14:46.318563,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Spectre: A Space for Radical and Critical Comment,,"spectremagazine@cusu.cam.ac.uk, spectre.cambridge@yahoo.co.uk",,2016-09-25T11:16:16.474929,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Stop The War Coalition,,"stopthewar@cusu.cam.ac.uk, cambridge@stopwar.org.uk",,2016-09-25T11:16:35.082289,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
The Cambridge Nutter Comedy Magazine,TCN,"thenutter@outlook.com, thenutter@cusu.cam.ac.uk",,2016-09-25T11:17:58.227363,failed (invalid_syntax),,,,,,,,,,,,,,,,,,,,
Australian & New Zealand Society,CUANZ,anz@cusu.cam.ac.uk,,2016-09-25T10:37:19.269449,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Cadenza,,cadenza@cusu.cam.ac.uk,,2016-09-25T10:39:26.776779,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Chinese Calligraphy Society,,callisoc@cusu.cam.ac.uk,,2016-09-25T10:39:35.437269,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Cambridge University Hockey Club,CUHC,ceb200@cam.ac.uk,,2016-09-25T10:41:57.283674,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Christian Aid Society,,christianaidsociety@cusu.cam.ac.uk,,2016-09-25T10:43:04.864057,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Clare Politics,,clarepolitics@cusu.cam.ac.uk,,2016-09-25T10:43:34.356380,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
The Cambridge University Society for Women Lawyers,,cw561@cam.ac.uk,,2016-09-25T10:50:27.777904,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
CUSU Ethical Affairs,,green@cusu.cam.ac.uk,,2016-09-25T10:55:04.461615,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
CUSU Higher Education Funding Campaign,,he-funding@cusu.cam.ac.uk,,2016-09-25T10:55:54.099712,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Cambridge Libertarians,CamLib,info@cambridgelibertarians.org.uk,,2016-09-25T10:59:23.198269,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Ivory Tower Society,ITS,ivorytower@cusu.cam.ac.uk,,2016-09-25T11:01:15.346402,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Exploring Latin America Society,LatinCultura,latincultura@cusu.cam.ac.uk,,2016-09-25T11:02:56.671880,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Cambridge Student Liberal Democrats,CSLD,libdems@cusu.cam.ac.uk,,2016-09-25T11:03:12.334652,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Guild of Change Ringers,CUGCR,master@cugcr.org.uk,,2016-09-25T11:04:47.169490,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Oxbridge Summer Camps Abroad,OSCA,osca@cusu.cam.ac.uk,,2016-09-25T11:06:37.223789,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Pembroke Poetry Society,,pemsoc@cusu.cam.ac.uk,,2016-09-25T11:07:13.499522,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Cambridge Society for Economics Pluralism,,president@cambridgepluralism.org,,2016-09-25T11:08:39.482077,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Queens and Clare Overseas Education Fund,QCOEF,qcoef@cusu.cam.ac.uk,,2016-09-25T11:10:53.791796,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Real Estate Finance & Investment Society,CUREFIS,secretary@curefis.com,,2016-09-25T11:14:34.771794,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Sign Language Society,CUSLS,signsoc@cusu.cam.ac.uk,,2016-09-25T11:14:51.803858,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Community Affairs,,sophie.smith@admin.cam.ac.uk,,2016-09-25T11:16:00.686614,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Students Supporting Street Kids,SSSKcam,streetkids@cusu.cam.ac.uk,,2016-09-25T11:16:44.207860,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
TEDx Society,,tedxcamuni@cusu.cam.ac.uk,,2016-09-25T11:17:48.042607,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
Yugosphere Society,CUYUS,yugosoc@cusu.cam.ac.uk,,2016-09-25T11:34:20.078583,failed (mailbox_does_not_exist),,,,,,,,,,,,,,,,,,,,
